ATTRIBUTE_plant_part	ATTRIBUTE_species	G1	G2	G3	G4	G5	G6	GNPSGROUP:Anacardium occidentale	GNPSGROUP:Haemotostaphis barteri	GNPSGROUP:Lannea barteri	GNPSGROUP:Mangifera indica	GNPSGROUP:Pseudospondias microcarpa	GNPSGROUP:Sclerocarya birrea	GNPSGROUP:Spondias dulcis	GNPSGROUP:fruits	GNPSGROUP:leaves	GNPSGROUP:na	GNPSGROUP:root bark	GNPSGROUP:stem bark	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	8966.818937280923	1108.3888214709666	2272.4004698352187	430086.0475921298	16445.405094952035	18742.140365898846	11567.396551468139	0.0	19459.519207428468	15836.937045224213	179420.8149738794	13121.265617843534	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	This Node is a Singleton	N/A	N/A	N/A	4.1323	4.1323	0	N/A	N/A	1563195.8838201808	15	1	-1	15	460.2903	1	460.2903	1563195.8838201808
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	8340.856613205862	9872.400840384591	8020.218498405324	357065.0291135461	45855.85612027711	8882.155169803726	35040.68875758166	34404.13818902679	24258.31391842181	25246.358160304557	112471.39441145248	67653.62499453477	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	This Node is a Singleton	N/A	N/A	N/A	5.6806	5.6806	0	N/A	N/A	1591319.262261413	27	2	-1	27	270.2060	1	270.2060	1591319.262261413
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	587872.4357612343	578808.2298780088	598240.8699744157	606488.4667589413	606151.6694381844	583711.9944330798	590195.4162896423	623609.1268102751	606814.7793663304	717260.9802214669	583136.977988583	586755.355534862	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	N/A	10.2278	10.2278	0	N/A	N/A	16646863.818146039	27	3	-1	27	409.1836	1	409.1836	16646863.818146039
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	289593.20082969003	316541.78967856406	328397.68832175666	293334.98001432273	161392.5477023247	127437.52499386702	213176.63774689476	219851.42361306032	243996.64433565197	160099.1409830121	245263.10854318316	243763.7088285255	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	This Node is a Singleton	N/A	N/A	N/A	8.0391	8.0391	0	N/A	N/A	6151511.3604796445	27	4	-1	27	280.2636	1	280.2636	6151511.3604796445
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	370.6447540991021	2212.952047307606	6789.102235953117	34438.883206139675	907946.9583052768	5708.3005534833355	22161.756858411638	32967.24599872831	28593.204255198187	328947.4656257816	16704.639198421795	499540.08600188897	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	This Node is a Singleton	N/A	N/A	N/A	3.6403	3.6403	0	N/A	N/A	5491570.080316198	17	5	-1	17	316.2480	1	316.2480	5491570.080316198
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	9542.843645443307	9306.818985888052	33110.11170881218	77848.01018930277	9254.314092375545	561456.1356995631	18320.366775588143	0.0	287745.72017142776	16005.449682803766	5945.112091318774	15704.898792009853	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=194&task=1ad34e72edcf45cbb40c79344f28c967&show=true	InChI=1S/C21H36O10/c1-11(2)5-4-6-12(3)7-8-28-20-19(27)17(25)16(24)14(31-20)10-29-21-18(26)15(23)13(9-22)30-21/h5,7,13-27H,4,6,8-10H2,1-3H3/b12-7+/t13-,14+,15-,16+,17-,18+,19+,20+,21+/m0/s1	(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[(2E)-3,7-dimethylocta-2,6-dienoxy]oxane-3,4,5-triol	0.8464700000000001	4.3248	4.3248	0	N/A	CCMSLIB00004698492	2245797.365797314	18	6	194	18	466.2651	1	466.2651	2245797.365797314
leaves,root bark	Haemotostaphis barteri,Spondias dulcis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41425.210933695525	0.0	0.0	0.0	0.0	164603.2815291579	0.0	88174.62049909231	0.0	123.30484213057346	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	This Node is a Singleton	N/A	N/A	N/A	3.4188	3.4188	0	N/A	N/A	618085.4773885602	3	7	-1	3	771.2830	1	771.2830	618085.4773885602
na,stem bark	Pseudospondias microcarpa,na,Lannea barteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40495.17942323787	0.0	159735.20223513214	0.0	0.0	0.0	0.0	19326.53702296084	0.0	108632.33531574887	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	This Node is a Singleton	N/A	N/A	N/A	2.1305	2.1305	0	N/A	N/A	857059.0323250465	4	8	-1	4	475.1781	1	475.1781	857059.0323250465
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	8457.02427210064	493.0083869343282	0.0	272840.4281523747	11179.782063640047	2781.708185414993	3930.7482420570973	0.0	4977.309703650854	10314.784851151435	112526.04186830422	12529.202709645691	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	This Node is a Singleton	N/A	N/A	N/A	4.0594	4.0594	0	N/A	N/A	961801.8042269626	12	9	-1	12	435.1990	1	435.1990	961801.8042269626
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	41113.641744936016	1401.2051773227304	0.0	55552.496820918204	14568.802452913318	990285.1113680287	17053.91379351876	0.0	480514.05149758194	32140.35867794662	766.0464475621782	790.5187014025599	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=91&task=1ad34e72edcf45cbb40c79344f28c967&show=true	InChI=1S/C19H34O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h11-12,14-18,20-24H,5-9H2,1-4H3/t11?,12?,14-,15-,16+,17-,18-/m1/s1	NCGC00385079-01_C19H34O7_4-(4-Hydroxy-2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside	0.794823	3.4032	3.4032	0	CC(CCC/1=C(C)/CC(O)CC1(C)C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	CCMSLIB00000853549	3535196.10991556	11	10	91	11	375.2373	1	375.2373	3535196.10991556
