CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
862	4602	1	0.9059	-0.037
2528	4602	1	0.8987	0.001
2528	4506	1	0.893	0.000
4506	4602	1	0.9035	0.000
205	3985	5	0.845	-14.015
886	4500	5	0.9914	0.039
2080	2813	5	0.9387	33.984
2770	4307	5	0.8504	28.028
3180	3256	5	0.9724	28.031
1909	3054	5	0.9508	-33.984
3066	4307	5	0.8875	38.049
205	3135	5	0.9079	13.980
1814	4505	5	0.8628	0.000
2557	2759	5	0.8878	-28.032
205	3571	5	0.935	-28.032
2978	4307	5	0.8845	14.013
2922	4626	5	0.9113	27.995
3250	3412	5	0.829	-14.017
3675	3681	5	0.8505	-45.058
3054	3571	5	0.9257	-44.027
886	1375	5	0.9249	0.000
3054	3135	5	0.9621	-2.015
2275	2754	5	0.8487	-14.015
2159	2813	5	0.9347	-14.016
3414	3418	5	0.9048	-26.016
205	2292	5	0.8935	42.010
2080	3641	5	0.8418	238.230
913	2885	5	0.8307	-18.011
3054	4307	5	0.8805	10.018
3432	3568	5	0.8947	-14.016
3256	3641	5	0.8547	236.215
2055	2813	5	0.9561	26.016
644	2922	5	0.8713	32.026
1909	2159	5	0.928	-2.015
4198	4298	5	0.8875	0.036
1627	2754	5	0.8526	70.042
1895	3256	5	0.9727	-26.016
1375	4500	5	0.9284	0.039
2118	4198	5	0.9114	-0.036
135	4478	5	0.8507	-32.026
2543	4854	5	0.8629	14.015
2159	2574	5	0.9351	-26.015
4051	4478	5	0.838	-18.010
3641	4500	5	0.9364	14.054
2128	2353	5	0.9353	-2.017
2275	3418	5	0.845	-54.047
1523	4478	5	0.9149	17.027
2055	3123	5	0.9669	28.032
2080	2978	5	0.8641	12.036
3123	3675	5	0.9541	26.016
4350	4505	5	0.9182	-17.026
2543	4264	5	0.8621	17.026
3135	3571	5	0.9027	-42.012
3476	4350	5	0.8697	-32.026
2978	4523	5	0.8825	-54.047
25	3758	5	0.9605	0.000
1814	3929	5	0.8716	0.000
2574	3418	5	0.9242	14.015
1772	4626	5	0.8381	-32.026
4264	4298	5	0.9228	14.016
276	2543	5	0.9206	126.032
3973	4198	5	0.8854	0.000
4350	4478	5	0.8387	14.016
1909	2574	5	0.9173	-28.030
2813	3123	5	0.9546	2.016
3626	4264	5	0.9695	0.000
2128	2930	5	0.9399	-28.033
205	2770	5	0.861	-2.016
886	3758	5	0.8348	46.005
1895	4523	5	0.9028	-70.042
1732	4505	5	0.8212	0.000
3135	3414	5	0.9243	48.000
2128	3256	5	0.9109	45.057
3568	4588	5	0.8641	-14.963
3180	4523	5	0.9128	-15.995
3054	3256	5	0.9673	-14.016
1627	2159	5	0.8474	42.011
2930	3180	5	0.914	45.058
1627	2574	5	0.8805	15.996
2055	3180	5	0.9414	-33.984
1895	2353	5	0.8478	-73.090
2055	3675	5	0.9353	54.048
3985	4523	5	0.8258	-28.032
2922	3476	5	0.8235	14.015
3066	3418	5	0.9143	47.999
3250	4071	5	0.8782	17.026
1345	2813	5	0.8204	45.058
3054	3407	5	0.8554	54.047
2080	2353	5	0.9259	-45.058
3973	4298	5	0.9607	0.036
2292	3571	5	0.8914	-70.042
115	2574	5	0.8532	-28.030
2543	3568	5	0.8678	-15.000
1895	3675	5	0.9335	33.984
3256	4523	5	0.9173	-44.026
1895	2978	5	0.8597	-15.995
2128	4722	5	0.8563	14.015
2930	3377	5	0.9052	54.046
252	4307	5	0.8216	-18.014
205	3066	5	0.9243	-12.036
1895	3985	5	0.8386	-42.010
115	2159	5	0.8638	-2.015
2759	2930	5	0.8727	-33.984
2080	3135	5	0.967	14.016
2891	3641	5	0.9027	-33.984
2292	3407	5	0.8743	28.032
2885	4478	5	0.8297	-46.005
1132	1732	5	1.0	0.000
1375	3973	5	0.829	36.000
1627	3571	5	0.8893	-33.985
2150	4264	5	0.861	163.016
1345	3681	5	0.8531	28.031
2080	3180	5	0.9667	-26.016
1895	2292	5	0.9525	14.015
1345	2353	5	0.8567	-33.985
2128	3377	5	0.8986	26.013
3929	4505	5	0.966	0.000
1523	4505	5	0.8377	-14.016
3571	4523	5	0.9181	-14.015
