G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	This Node is a Singleton	N/A	N/A	N/A	4.1323	4.1323	0	N/A	N/A	1563195.883820181	15	1	-1	15	460.2903	1	460.2903	1563195.883820181
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	This Node is a Singleton	N/A	N/A	N/A	5.6806	5.6806	0	N/A	N/A	1591319.2622614128	27	2	-1	27	270.2060	1	270.2060	1591319.2622614128
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	N/A	10.2278	10.2278	0	N/A	N/A	16646863.818146037	27	3	-1	27	409.1836	1	409.1836	16646863.818146037
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	This Node is a Singleton	N/A	N/A	N/A	8.0391	8.0391	0	N/A	N/A	6151511.360479645	27	4	-1	27	280.2636	1	280.2636	6151511.360479645
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	This Node is a Singleton	N/A	N/A	N/A	3.6403	3.6403	0	N/A	N/A	5491570.080316198	17	5	-1	17	316.2480	1	316.2480	5491570.080316198
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=463&task=d0173288f0194aa381d5dc03b93915bd&show=true	InChI=1S/C21H36O10/c1-11(2)5-4-6-12(3)7-8-28-20-19(27)17(25)16(24)14(31-20)10-29-21-18(26)15(23)13(9-22)30-21/h5,7,13-27H,4,6,8-10H2,1-3H3/b12-7+/t13-,14+,15-,16+,17-,18+,19+,20+,21+/m0/s1	(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[(2E)-3,7-dimethylocta-2,6-dienoxy]oxane-3,4,5-triol	0.8464700000000001	4.3248	4.3248	0	N/A	CCMSLIB00004698492	2245797.365797314	18	6	463	18	466.2651	1	466.2651	2245797.365797314
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	This Node is a Singleton	N/A	N/A	N/A	3.4188	3.4188	0	N/A	N/A	618085.4773885603	3	7	-1	3	771.2830	1	771.2830	618085.4773885603
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	This Node is a Singleton	N/A	N/A	N/A	2.1305	2.1305	0	N/A	N/A	857059.0323250464	4	8	-1	4	475.1781	1	475.1781	857059.0323250464
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	This Node is a Singleton	N/A	N/A	N/A	4.0594	4.0594	0	N/A	N/A	961801.8042269626	12	9	-1	12	435.1990	1	435.1990	961801.8042269626
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=128&task=d0173288f0194aa381d5dc03b93915bd&show=true	InChI=1S/C19H34O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h11-12,14-18,20-24H,5-9H2,1-4H3/t11?,12?,14-,15-,16+,17-,18-/m1/s1	NCGC00385079-01_C19H34O7_4-(4-Hydroxy-2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside	0.794823	3.4032	3.4032	0	CC(CCC/1=C(C)/CC(O)CC1(C)C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	CCMSLIB00000853549	3535196.1099155596	11	10	128	11	375.2373	1	375.2373	3535196.1099155596
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11.0","main.cluster index_upperinput":"11.0"}	This Node is a Singleton	N/A	N/A	N/A	6.0328	6.0328	0	N/A	N/A	5037999.468972219	27	11	-1	27	288.2896	1	288.2896	5037999.468972219
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=52&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	2.2769	2.2769	0	N/A	N/A	1577619.7915171208	7	12	52	7	427.0903	1	427.0903	1577619.7915171208
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13.0","main.cluster index_upperinput":"13.0"}	This Node is a Singleton	N/A	N/A	N/A	2.7917	2.7917	0	N/A	N/A	1235944.7346160489	14	13	-1	14	201.1486	1	201.1486	1235944.7346160489
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	This Node is a Singleton	N/A	N/A	N/A	5.5324	5.5324	0	N/A	N/A	826105.4407021973	4	14	-1	4	708.3219	1	708.3219	826105.4407021973
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15.0","main.cluster index_upperinput":"15.0"}	This Node is a Singleton	InChI=1S/C11H14O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-4,6-7,12-13H,5H2,1-2H3/b4-3+	Spectral Match to Sinapyl alcohol from NIST14	0.8037880000000001	2.3411	2.3411	0	COC1=CC(=CC(=C1O)OC)/C=C/CO	CCMSLIB00003134695	5699707.2694125725	22	15	-1	22	193.0859	1	193.0859	5699707.2694125725
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16.0","main.cluster index_upperinput":"16.0"}	This Node is a Singleton	N/A	N/A	N/A	4.0386	4.0386	0	N/A	N/A	1215957.1405125146	4	16	-1	4	820.2601	1	820.2601	1215957.1405125146
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17.0","main.cluster index_upperinput":"17.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=284&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	6.9525	6.9525	0	N/A	N/A	1471787.0825405691	27	17	284	27	295.1904	1	295.1904	1471787.0825405691
