CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1145	1624	1	0.7502	-28.032
559	824	1	0.7631	-28.032
824	1624	1	0.8419	18.010
1379	4671	2	0.8759	-18.010
1314	3362	2	0.7547	42.047
348	1764	2	0.7217	15.959
3362	4843	2	0.8594	-14.016
2672	4819	2	0.7531	56.063
348	4819	2	0.7258	14.016
802	4819	2	0.8554	42.047
1830	1905	2	0.7254	-27.958
348	2871	2	0.8798	0.000
1379	3362	2	0.7584	28.031
802	2672	2	0.8066	-14.016
348	4671	2	0.7957	-14.016
4819	4843	2	0.729	3.995
2871	4671	2	0.8434	-14.016
2871	4819	2	0.829	14.016
663	2871	2	0.8656	0.000
1379	3141	2	0.8788	-18.010
1905	2871	2	0.7154	12.000
348	4843	2	0.7572	18.011
1314	1379	2	0.7134	14.016
1905	4671	2	0.7472	-2.016
663	3141	2	0.783	-14.015
802	2848	2	0.7063	-33.985
3141	4819	2	0.7684	28.031
348	3141	2	0.7995	-14.015
802	3141	2	0.7386	14.016
1905	4819	2	0.7851	26.015
4671	4819	2	0.7543	28.031
663	4843	2	0.7386	18.011
1764	4671	2	0.7058	-29.974
802	4671	2	0.7317	14.016
2871	4843	2	0.8662	18.011
1905	3141	2	0.7555	-2.016
348	663	2	0.9286	-0.000
802	1314	2	0.8572	18.011
802	1905	2	0.8388	16.031
663	1764	2	0.7115	15.959
1379	4843	2	0.7687	14.016
1764	4898	2	0.8241	80.084
663	4671	2	0.7808	-14.015
1830	2871	2	0.7249	-15.959
1905	4898	2	0.7258	108.042
1764	1830	2	0.9249	-0.000
802	977	2	0.7259	0.000
3362	4819	2	0.8461	-18.010
3141	4671	2	0.9587	-0.000
1764	1905	2	0.7436	-27.958
1764	2871	2	0.7541	-15.959
2871	3141	2	0.8555	-14.015
262	2507	3	0.8923	0.000
2318	2974	3	0.7533	15.995
2318	2861	3	0.8232	0.000
2507	2974	3	0.8963	0.000
849	2974	3	0.8435	15.995
262	2861	3	0.882	-15.995
849	1502	3	0.8635	15.995
2507	2861	3	0.8353	-15.995
262	849	3	0.8675	-15.995
1502	2507	3	0.8942	0.000
262	1502	3	0.8774	-0.000
1502	2861	3	0.8254	-15.995
262	2318	3	0.7787	-15.995
2861	2974	3	0.8491	15.995
849	2861	3	0.9162	0.000
262	2974	3	0.9172	0.000
849	2507	3	0.8546	15.995
1502	2974	3	0.8395	0.000
849	2318	3	0.7615	0.000
2668	4480	4	0.8009	162.053
2668	3941	4	0.8822	-45.058
1698	2668	4	0.8127	-180.063
1698	4480	4	0.9348	-18.010
