	feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
0	10	1.0	0.540758	ISDB	http://www.wikidata.org/entity/Q105242461	ROTRZDNJZBPLJO-MLONCLLVSA-N	InChI=1S/C19H34O7/c1-10-5-8-14(21)19(3,4)12(10)7-6-11(2)25-18-17(24)16(23)15(22)13(9-20)26-18/h11,13-18,20-24H,5-9H2,1-4H3/t11-,13-,14-,15-,16+,17-,18-/m1/s1	CC1=C(CC[C@@H](C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)[C@H](O)CC1	C19H34O7	nan	374.23045342800003	Platanionoside J	ROTRZDNJZBPLJO	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q7218203	Alangium platanifolium	414781.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Cornales']	['Cornaceae']	['Unknown']	['Alangium']	['Alangium platanifolium']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	1	6.663032054901123	1	91	Terpenoids	1.0	Sesquiterpenoids	0.9565217391304348	Cadinane sesquiterpenoids	0.391304347826087
1	1004	1.0|1.0|1.0	0.0|0.0|0.0	MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q27105441|http://www.wikidata.org/entity/Q104253490|http://www.wikidata.org/entity/Q104253492	BDHQMRXFDYJGII-UEBIAWITSA-N|BTLJUKNIXFTSMI-ZVBGSRNCSA-N|CIBNJPPYSPYHDB-UEBIAWITSA-N	InChI=1S/C31H52O/c1-20(2)21(3)9-10-22(4)23-13-15-29(8)25-12-11-24-27(5,6)26(32)14-16-30(24)19-31(25,30)18-17-28(23,29)7/h20,22-26,32H,3,9-19H2,1-2,4-8H3/t22-,23-,24+,25+,26+,28-,29+,30-,31+/m1/s1|InChI=1S/C31H52O/c1-20(2)21(3)9-10-22(4)23-13-15-29(8)25-12-11-24-27(5,6)26(32)14-16-30(24)19-31(25,30)18-17-28(23,29)7/h9,20,22-26,32H,10-19H2,1-8H3/b21-9+|InChI=1S/C31H52O/c1-20(2)21(3)9-10-22(4)23-13-15-29(8)25-12-11-24-27(5,6)26(32)14-16-30(24)19-31(25,30)18-17-28(23,29)7/h22-26,32H,9-19H2,1-8H3/t22-,23-,24+,25+,26+,28-,29+,30-,31+/m1/s1	C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C|C/C(=C\CC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C)C(C)C|CC(C)=C(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C	C31H52O|C31H52O|C31H52O	pos_2MMg|pos_2MMg|pos_2MMg	440.40181628399984|440.401816284|440.401816284	24-Methylenecycloartanol|Cyclosadol|Cyclobranol	BDHQMRXFDYJGII|BTLJUKNIXFTSMI|CIBNJPPYSPYHDB	Terpenoids|Terpenoids|Terpenoids	Triterpenoids|Triterpenoids|Triterpenoids	Cycloartane triterpenoids|Cycloartane triterpenoids|Cycloartane triterpenoids	http://www.wikidata.org/entity/Q3919027|http://www.wikidata.org/entity/Q3919027|http://www.wikidata.org/entity/Q3919027	Mangifera indica|Mangifera indica|Mangifera indica	807634.0|807634.0|807634.0	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Sapindales']|['Sapindales']|['Sapindales']	['Anacardiaceae']|['Anacardiaceae']|['Anacardiaceae']	['Unknown']|['Unknown']|['Unknown']	['Mangifera']|['Mangifera']|['Mangifera']	['Mangifera indica']|['Mangifera indica']|['Mangifera indica']	nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Sapindales']|['Sapindales']|['Sapindales']	['Anacardiaceae']|['Anacardiaceae']|['Anacardiaceae']	nan|nan|nan	nan|nan|nan	nan|nan|nan	6|6|6	1|1|1	6.5|6.5|6.5	1|1|1	81	Terpenoids	0.023809523809523808	Aromatic polyketides	0.023809523809523808	Catechols with side chains	0.023809523809523808
2	1005	3.0	0.60015196	ISDB	http://www.wikidata.org/entity/Q105161592	MDCGEAGEQVMWPE-SXGMEYSMSA-N	InChI=1S/C13H20O2/c1-9-7-11(15)8-13(3,4)12(9)6-5-10(2)14/h5-7,10,12,14H,8H2,1-4H3/b6-5+/t10-,12+/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O	C13H20O2	nan	208.14632988	(+)-3-Oxo-alpha-ionol	MDCGEAGEQVMWPE	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	nan	nan	nan	6	0	8.40060806274414	1	-1	nan	nan	nan	nan	nan	nan
3	1006	4.0	0.4278404	ISDB	http://www.wikidata.org/entity/Q105344966	XZIRYBKRPWWONW-RFPSPGDLSA-N	InChI=1S/C22H34O4/c1-2-3-4-5-6-8-11-17(23)14-15-20(24)18-16-19(18)21-12-9-7-10-13-22(25)26-21/h3-4,6,8,14-15,17-21,23-24H,2,5,7,9-13,16H2,1H3/b4-3-,8-6-,15-14+/t17-,18+,19+,20+,21+/m0/s1	CC/C=C\C/C=C\C[C@H](O)/C=C/[C@@H](O)[C@@H]1C[C@H]1[C@H]1CCCCCC(=O)O1	C22H34O4	nan	362.24570956800005	(8R)-8-[(1R,2R)-2-[(1R,2E,4S,6Z,9Z)-1,4-dihydroxydodeca-2,6,9-trienyl]cyclopropyl]oxocan-2-one	XZIRYBKRPWWONW	nan	nan	nan	http://www.wikidata.org/entity/Q15484242	Phreatia plantaginifolia	3978797.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Orchidaceae']	['Podochileae']	['Phreatia']	['Phreatia plantaginifolia']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	5.711361885070801	1	-1	nan	nan	nan	nan	nan	nan
4	1012	4.0	0.0	MS1_match	http://www.wikidata.org/entity/Q7076690	FWWQKRXKHIRPJY-UHFFFAOYSA-N	InChI=1S/C18H36O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h18H,2-17H2,1H3	CCCCCCCCCCCCCCCCCC=O	C18H36O	pos_1_1proton1acetonitrile	268.276615772	Octadecanal	FWWQKRXKHIRPJY	Fatty acids	Fatty acyls	Fatty aldehydes	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	nan	['Mangifera']	['Mangifera indica']	8	3	9.5	1	574	Fatty acids	1.0	Fatty amides	1.0	Fatty aldehydes	1.0
5	1013	2.0	0.5896775	ISDB	http://www.wikidata.org/entity/Q27156608	DBHKHNGBVGWQJE-USWSLJGRSA-N	InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)/b7-6-,10-9-/t22-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN	C23H44NO7P	nan	477.285539378	1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine	DBHKHNGBVGWQJE	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q30046	Vitis vinifera	756728.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Vitales']	['Vitaceae']	['Viteae']	['Vitis']	['Vitis vinifera']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	7.858710289001465	1	74	Fatty acids	0.5	Glycerophospholipids	0.375	Glycerophosphoethanolamines	0.1875
6	1015	2.0	0.22611235	ISDB	http://www.wikidata.org/entity/Q105288292	VLCUGIGKHWIPRQ-RCDKRZEWSA-N	InChI=1S/C32H42O7/c1-16(2)17(3)24(35)19-12-22(33)30(5)15-38-25-26(30)31(19,6)20-8-10-29(4)21(32(20,7)27(25)36)13-23(34)39-28(29)18-9-11-37-14-18/h9,11,13-14,19-20,22,25-28,33,36H,8,10,12,15H2,1-7H3/t19-,20-,22-,25-,26+,27-,28+,29-,30-,31-,32-/m1/s1	CC(C)=C(C)C(=O)[C@H]1C[C@@H](O)[C@@]2(C)CO[C@H]3[C@@H](O)[C@@]4(C)C5=CC(=O)O[C@@H](c6ccoc6)[C@]5(C)CC[C@@H]4[C@]1(C)[C@@H]32	C32H42O7	nan	538.293053684	Meliacinol	VLCUGIGKHWIPRQ	Terpenoids	Triterpenoids	Limonoids	http://www.wikidata.org/entity/Q170461	Azadirachta indica	481682.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Meliaceae']	['Unknown']	['Azadirachta']	['Azadirachta indica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	nan	nan	nan	nan	5	0	5.904449462890625	1	-1	nan	nan	nan	nan	nan	nan
7	1017	4.0	0.3605172	ISDB	http://www.wikidata.org/entity/Q105287650	VKBQNDASXFVXJJ-QPOFKBRPSA-N	InChI=1S/C22H38/c1-19(2)12-7-13-20(3)17(19)11-15-22(5)18(20)10-9-16-8-6-14-21(16,22)4/h16-18H,6-15H2,1-5H3/t16-,17-,18+,20-,21+,22+/m0/s1	CC1(C)CCC[C@]2(C)[C@H]3CC[C@@H]4CCC[C@@]4(C)[C@]3(C)CC[C@@H]12	C22H38	nan	302.297351216	Octanordammarane	VKBQNDASXFVXJJ	Terpenoids	Triterpenoids	Dammarane and Protostane triterpenoids	http://www.wikidata.org/entity/Q3281617	Pyrrosia lingua	294548.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Polypodiopsida']	['Polypodiales']	['Polypodiaceae']	['Unknown']	['Pyrrosia']	['Pyrrosia lingua']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	nan	nan	nan	nan	nan	nan	3	0	4.442069053649902	1	176	Fatty acids	0.7049180327868853	Diterpenoids	0.7377049180327869	Catechols with side chains	0.4262295081967213
8	1019	2.0	0.34516865	ISDB	http://www.wikidata.org/entity/Q105024708	GZXPCBAETDEQAX-YJBOKZPZSA-N	InChI=1S/C21H20O9/c1-25-12-7-11(8-13(26-2)17(12)24)18-15(9-22)28-21-19-10(4-5-16(23)29-19)6-14(27-3)20(21)30-18/h4-8,15,18,22,24H,9H2,1-3H3/t15-,18-/m0/s1	COc1cc([C@@H]2Oc3c(OC)cc4ccc(=O)oc4c3O[C@H]2CO)cc(OC)c1O	C21H20O9	nan	416.11073221999993	(2S,3S)-3-(4-hydroxy-3,5-dimethoxyphenyl)-2-(hydroxymethyl)-5-methoxy-2,3-dihydropyrano[3,2-h][1,4]benzodioxin-9-one	GZXPCBAETDEQAX	Shikimates and Phenylpropanoids	Coumarins	Coumarinolignans	http://www.wikidata.org/entity/Q7691623	Brucea javanica	841359.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Simaroubaceae']	['Unknown']	['Brucea']	['Brucea javanica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	nan	nan	nan	nan	5	0	6.380674362182617	1	-1	nan	nan	nan	nan	nan	nan
9	1024	1.0	0.48721004	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	OCHZTELGZBWSJD	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.9488401412963867	1	205	nan	nan	nan	nan	nan	nan
