	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
0	4913	31	Terpenoids	0.8888888888888888	Apocarotenoids	0.7407407407407407	Apocarotenoids (β-)	0.6666666666666666	2.0	0.38178465	ISDB	http://www.wikidata.org/entity/Q105368791	YYNVBNQMBDXSDX-ZVTXLDGASA-N	InChI=1S/C25H42O12/c1-11-7-13(27)8-25(3,4)14(11)6-5-12(2)35-24-22(33)20(31)18(29)16(37-24)10-34-23-21(32)19(30)17(28)15(9-26)36-23/h7,12,14-24,26,28-33H,5-6,8-10H2,1-4H3/t12-,14+,15-,16-,17-,18-,19+,20+,21-,22-,23-,24-/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1CC[C@@H](C)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O	C25H42O12		534.2676267840001	(4R)-3,5,5-trimethyl-4-[(3R)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxybutyl]cyclohex-2-en-1-one	YYNVBNQMBDXSDX	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q161155	Ornithogalum umbellatum	12152.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Hyacinthaceae']	['Unknown']	['Ornithogalum']	['Ornithogalum umbellatum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.527138710021973	1
1	4911	15	Terpenoids	0.5	Apocarotenoids	0.5	Megastigmanes	0.5	1.0	0.34619182	ISDB	http://www.wikidata.org/entity/Q105278330	USMQLSYNCFOLAA-NYENGJLOSA-N	InChI=1S/C26H34O11/c1-12-7-15(27)10-26(3,4)16(12)6-5-13(2)36-25-23(33)22(32)21(31)19(37-25)11-35-24(34)14-8-17(28)20(30)18(29)9-14/h5-9,13,16,19,21-23,25,28-33H,10-11H2,1-4H3/b6-5+/t13-,16+,19-,21-,22+,23-,25-/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O	C26H34O11		522.2101119079998	(4R)-4-[(3R)-3-(6-O-Galloyl-beta-D-glucopyranosyloxy)-1-butenyl]3,5,5-trimethyl-2-cyclohexene-1-one	USMQLSYNCFOLAA	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q3020630	Macaranga tanarius	573156.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Acalypheae']	['Macaranga']	['Macaranga tanarius']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	6.884767532348633	1
2	4906	-1							2.0	0.5876217	ISDB	http://www.wikidata.org/entity/Q104988085	DSXFEBWYDMBLBH-BITCUVMXSA-N	InChI=1S/C13H18O3/c1-7-5-11(14)13(15)10-4-8(2)12(16-3)6-9(7)10/h4,6-7,11,13-15H,5H2,1-3H3/t7-,11+,13-/m1/s1	COc1cc2c(cc1C)[C@@H](O)[C@@H](O)C[C@H]2C	C13H18O3		222.12559443599997	Aristelegone D	DSXFEBWYDMBLBH	Terpenoids			http://www.wikidata.org/entity/Q1891719	Aristolochia elegans	80342.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Piperales']	['Aristolochiaceae']	['Unknown']	['Aristolochia']	['Aristolochia elegans']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	6.350486755371094	1
4	4905	-1							1.0	0.36867633	ISDB	http://www.wikidata.org/entity/Q104937578	BKHFTVFNYNKPGW-GRBQAUPASA-N	InChI=1S/C15H22Br2O4/c1-2-10(17)13-7-11(18)12(19)8-15-14(21-13)6-9(20-15)4-3-5-16/h4-5,9-15,18-19H,2,6-8H2,1H3/t3?,9-,10-,11+,12-,13-,14-,15-/m1/s1	CC[C@@H](Br)[C@H]1C[C@H](O)[C@H](O)C[C@H]2O[C@H](C=C=CBr)C[C@H]2O1	C15H22Br2O4		423.9884833840001	Laurendecumallene B	BKHFTVFNYNKPGW	Polyketides			http://www.wikidata.org/entity/Q42550488	Laurencia decumbens	818370.0	['Eukaryota']	['Archaeplastida']	['Rhodophyta']	['Florideophycidae']	['Unknown']	['Unknown']	['Unknown']	['Laurencia']	['Laurencia decumbens']		['Eukaryota']	['Archaeplastida']								2	0	3.474705219268799	1
5	4904	163	Shikimates and Phenylpropanoids	1.0	Coumarins	0.8	Flavans	0.8	5.0	0.7718923	ISDB	http://www.wikidata.org/entity/Q27105592	YXMLGIGHGPSEKA-AWEZNQCLSA-N	InChI=1S/C15H14O3/c16-12-5-1-10(2-6-12)14-8-4-11-3-7-13(17)9-15(11)18-14/h1-3,5-7,9,14,16-17H,4,8H2/t14-/m0/s1	Oc1ccc([C@@H]2CCc3ccc(O)cc3O2)cc1	C15H14O3		242.094294308	7,4'-Dihydroxyflavan	YXMLGIGHGPSEKA	Shikimates and Phenylpropanoids	Flavonoids	Flavans	http://www.wikidata.org/entity/Q15525344	Soymida febrifuga	5747871.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Meliaceae']	['Unknown']	['Soymida']	['Soymida febrifuga']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	3	9.587569236755371	1
6	4903	746	Terpenoids	0.5	Apocarotenoids	0.5	Megastigmanes	0.5	1.0	0.49540278	ISDB	http://www.wikidata.org/entity/Q105280577	UWVPTDQDFQAEIW-OIDWXNETSA-N	InChI=1S/C19H30O8/c1-10(21)5-6-19-17(2,3)7-11(26-19)8-18(19,4)27-16-15(24)14(23)13(22)12(9-20)25-16/h5-6,11-16,20,22-24H,7-9H2,1-4H3/b6-5+/t11-,12+,13+,14-,15+,16-,18+,19+/m0/s1	CC(=O)/C=C/[C@@]12O[C@@H](CC1(C)C)C[C@@]2(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C19H30O8		386.19406791999984	(E)-4-[(1R,4S,6R)-2,2,6-trimethyl-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-oxabicyclo[2.2.1]heptan-1-yl]but-3-en-2-one	UWVPTDQDFQAEIW	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q17139682	Miliusa balansae	3867490.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Miliuseae']	['Miliusa']	['Miliusa balansae']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.481611251831055	1
7	4899	176	Fatty acids	0.7049180327868853	Diterpenoids	0.7377049180327869	Catechols with side chains	0.4262295081967213	2.0	0.48683423	ISDB	http://www.wikidata.org/entity/Q105034010	HUSISCNTLUEZCN-JWRMENJJSA-N	InChI=1S/C27H46O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h3-4,6-7,9-10,21-22,24-29,31-33H,2,5,8,11-20H2,1H3/b4-3+,7-6+,10-9-/t21-,22+,24-,25-,26+,27+/m0/s1	CC/C=C/C/C=C/C/C=C\CCCCCCCC(=O)OC[C@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	C27H46O9		514.3141830519999	[(2R)-2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] (9Z,12E,15E)-octadeca-9,12,15-trienoate	HUSISCNTLUEZCN	Fatty acids	Glycerolipids	Glycosylmonoacylglycerols	http://www.wikidata.org/entity/Q7937107	Vitis heyneana	568884.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Vitales']	['Vitaceae']	['Viteae']	['Vitis']	['Vitis heyneana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	6.4473371505737305	1
18	4897	15	Terpenoids	0.5	Apocarotenoids	0.5	Megastigmanes	0.5	1.0	0.38518623	ISDB	http://www.wikidata.org/entity/Q105278330	USMQLSYNCFOLAA-NYENGJLOSA-N	InChI=1S/C26H34O11/c1-12-7-15(27)10-26(3,4)16(12)6-5-13(2)36-25-23(33)22(32)21(31)19(37-25)11-35-24(34)14-8-17(28)20(30)18(29)9-14/h5-9,13,16,19,21-23,25,28-33H,10-11H2,1-4H3/b6-5+/t13-,16+,19-,21-,22+,23-,25-/m1/s1	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O	C26H34O11		522.2101119079998	(4R)-4-[(3R)-3-(6-O-Galloyl-beta-D-glucopyranosyloxy)-1-butenyl]3,5,5-trimethyl-2-cyclohexene-1-one	USMQLSYNCFOLAA	Terpenoids	Apocarotenoids	Megastigmanes	http://www.wikidata.org/entity/Q3020630	Macaranga tanarius	573156.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Acalypheae']	['Macaranga']	['Macaranga tanarius']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.040744781494141	1
35	4884	38	Terpenoids	1.0	Sesquiterpenoids	1.0	Guaiane sesquiterpenoids	1.0	1.0	0.40304452	ISDB	http://www.wikidata.org/entity/Q105347076	YDWPOGNXQRGSLE-KBRXKUPHSA-N	InChI=1S/C15H18O6/c1-7(16)6-10(18)11-8(2)14(19)21-13(11)12-9(17)4-5-15(12,3)20/h4-5,10-13,18,20H,2,6H2,1,3H3/t10-,11+,12-,13-,15-/m0/s1	C=C1C(=O)O[C@H]([C@@H]2C(=O)C=C[C@]2(C)O)[C@H]1[C@@H](O)CC(C)=O	C15H18O6		294.110338296	(4R,5S)-5-[(1S,2S)-2-hydroxy-2-methyl-5-oxocyclopent-3-en-1-yl]-4-[(1S)-1-hydroxy-3-oxobutyl]-3-methylideneoxolan-2-one	YDWPOGNXQRGSLE	Terpenoids	Sesquiterpenoids	Guaiane sesquiterpenoids	http://www.wikidata.org/entity/Q2716821	Artemisia ludoviciana	202533.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia ludoviciana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.112177848815918	1
36	4882	792	Polyketides	0.5	Phloroglucinols	0.5	Acyl phloroglucinols	0.5	2.0	0.83513564	ISDB	http://www.wikidata.org/entity/Q104667210	WXTPOHDTGNYFSB-RMPHRYRLSA-N	InChI=1S/C12H16O8/c13-4-8-9(16)10(17)11(18)12(20-8)19-7-2-5(14)1-6(15)3-7/h1-3,8-18H,4H2/t8-,9-,10+,11-,12-/m1/s1	OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	C12H16O8		288.084517472	(2S,3R,4S,5S,6R)-2-(3,5-dihydroxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol	WXTPOHDTGNYFSB	Polyketides	Phloroglucinols	Acyl phloroglucinols	http://www.wikidata.org/entity/Q80024	Citrus maxima	838646.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Citrus']	['Citrus maxima']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	3	9.840542793273926	1
